题目,作者,期刊,发表时间,摘要,关键词
发展还是内卷?——农村基层医疗卫生体制改革与变迁,赵黎,中国农村观察(2018年06期),2018/11/21 17:44,"保障基层医疗卫生服务的公平性与可及性是新医改工作的重点和难点。本文关注新医改过程中农村基层医疗卫生体制改革与医疗卫生新机制的建立,将内卷化理论引入具有发展边界的医疗卫生领域的分析中,以公共卫生服务项目、基本药物制度和基本医疗保险制度为例,通过田野调查揭示农村基层医疗卫生服务的现状与困境。本文试图突破固有的对内卷化概念的认知范式,结合被大多数学者所忽略的内卷化理论的新面向与新内涵,对农村基层医疗卫生领域改革、创新、突破的程度与可能进行省思。本文认为新医改的内卷化过程是在国家政治社会稳定与经济发展的背景下以渐进的方式呈现出来的,而这一过程也体现出医疗卫生领域改革所应有的革新性、适应性与特性化。在持续推进医改的过程中,为了避免形式化、过密化和异化的治理效果,政策制定者应重新审视政策工具在解决问题过程中自身也变为问题的现象,并培育新的符合地方实践的健康习惯行为与就医秩序。",内卷化;基层医疗卫生;新医改;公共卫生服务;基本医保;
不同主体社区卫生服务机构功能落实情况比较研究,周晔玲;李秀君;李士雪,广西民族大学学报(哲学社会科学版)(2018年04期),2018/7/15,"运用秩和比综合评价方法,对广西南宁市不同主体社区卫生服务机构的基本公共卫生和基本医疗服务功能落实情况进行综合评价及比较。研究发现,""政府办""""医院办""和""社会办""三类社区卫生服务机构公共卫生服务总体开展情况差异不大,但三类机构因运行机制不同,在基本医疗服务供给量方面有所差异,其中,无法有效吸引病源是制约各类社区卫生服务机构发展的症结。",社区;公共卫生;社区卫生服务;
我国乡村医生配置研究,武宁,卫生经济研究(2018年01期),2018/1/9 10:27,"结合农村医疗卫生服务需求、政策环境及其他社会经济地理条件,利用卫生服务需求法,对开展基本医疗卫生服务所需的乡村医生配置进行测算;利用工作任务分析法,对乡村医生提供的基本医疗服务和基本公共卫生的比例进行计算,进而推算提供基本公共卫生所需乡村医生的配置。最终给出了实际诊疗人次和理想诊疗人次不同条件下乡村医生的配置数量。以卫生服务需求为基础的计算方法是简单可行的乡村医生配置测算方法。",乡村医生;卫生服务需求;基本医疗服务;公共卫生服务;
国家基层高血压防治管理指南,,中国循环杂志(2017年11期),2017/11/24,"<正>1指南制定说明1.1制定目的当前,估计我国高血压患病人数已达2.7亿。包括脑卒中、冠心病、心力衰竭、肾脏疾病在内的高血压严重并发症致残和致死率高,已成为我国家庭和社会的沉重负担。然而,高血压可防可控。研究表明,降压治疗可降低脑卒中风险35%40%,降低心肌梗死风险20%25%,降低心力衰竭风险超过50%。因此,预防和控制高血压,是遏制我国心脑血管疾病流行的核心策略。",
基于系统动力学分析基本药物制度实施对社区卫生机构服务功能的影响,范海平;尹文强;于倩倩;陈钟鸣;贾海艺;崔雪丹;管晖;郑骥飞;朱丽丽,中国卫生统计(2016年05期),2016/10/25,"目的探究基本药物制度实施对山东省社区卫生服务机构基本医疗和公共卫生服务功能产生的影响并提出对策建议。方法运用系统动力学方法,在分析基本药物制度实施与社区服务功能的因果关系的基础上,构建流图并进行模拟,预测未来发展趋势。结果基本药物制度实施后,社区基本医疗服务功能相对弱化,公共卫生服务相对增强。结论政府应充分发挥调控作用,完善基本药物制度以减少其对社区基本医疗服务的冲击,保证社区基本医疗与公共卫生双网底功能的实现。",基本药物制度;社区卫生服务功能;系统动力学;
卫生服务准公共产品划分的依据与意义,王屹亭;火煜雯;凤博,医学与哲学(A)(2015年11期),2015/11/8,"准公共产品既有公共产品特性又有私人产品特征,在卫生服务领域是更为常见的产品类型。政府利用市场机制提供准公共产品是许多国家的经验。体现公益性和促进市场竞争也是我国新医改的两个方向。但目前国内学者对卫生服务准公共产品的理解还不一致。借助排他性与竞争性的二维分析框架,可以明确卫生服务领域中准公共产品的界限。同时,利用社会再生产的资本分析方法,区分不同类型卫生服务的资源配置要求,为政府公共投入和引导社会资本的政策制定提供参考。",卫生服务;准公共产品;共有资源;自然垄断;
北京市朝阳区不同财政补偿模式社区卫生服务机构绩效改革效果研究,倪娜娜;杨非衡;朱磊;何欢;刘宝花,中国卫生事业管理(2015年10期),2015/10/15,"目的:了解绩效改革实施以后社区卫生服务机构服务提供的变化情况及不同类型机构之间的差异,对绩效改革诱导性调整服务提供的效果进行评价,为后续绩效改革方案的制定和完善提供依据。方法:根据效果评价的目的建立一套适宜的评价指标体系,对绩效改革前后的卫生服务情况进行分析。结果:绩效改革实施以后,财政统筹机构人均基本医疗工作量增加54%,人均公共卫生工作量增加126%,医药比上涨30%,公共卫生比重增加43%;社管统筹机构人均基本医疗工作量增加72%,人均公共卫生工作量增加221%,医药比上涨50%。结论:朝阳区2013年的绩效改革调动了员工工作积极性,推动了基本医疗和公共卫生均衡发展,对财政统筹机构发挥出转移工作重心的作用。",社区卫生服务;绩效改革;效果评价;
流动人口健康档案现状调查分析,宋月萍;李龙,档案学通讯(2015年03期),2015/5/18,"本文基于2013年国家卫生计生委流动人口动态监测数据,主要使用定量研究方法分析当前流动人口健康档案建立和使用状况,并考察其存在的主要问题及成因。结果显示,流动人口健康档案知晓比例和覆盖比例相对偏低、建档工作较为落后、""死档""问题更加普遍,健康档案的信息化滞后、实惠性不足、基层工作量大以及流动人口流动性强等是主要成因。本文建议通过增强建档意识、推进信息建设、实现逐步有序提升流动人口健康档案的建档水平。",流动人口;健康档案;动态监测;
积极推进政府购买医疗卫生服务,李凤芹;张秀生,宏观经济管理(2014年09期),2014/9/8,"在不断深化医药卫生体制改革的背景下,应当规范和推进政府购买医疗卫生服务行为。针对当前政府购买医疗卫生服务存在的主要问题,建议科学确立政府采购买医疗卫生服务的项目、关注招投标价格、完善采购医疗卫生服务的监督机制,强制中标企业发布社会责任报告。",政府购买;基本医疗;公共卫生;
社区养老中政府购买医疗卫生服务的成本测算方法与应用,李凤芹;张秀生,财政研究(2014年07期),2014/7/5,"中国正在面对人口老龄化所带来的一系列问题,特别是老年人对医疗卫生服务需求的不断增加。中国老年人主要以社区养老为主,本文按照需方建立社区养老中政府购买医疗卫生服务的总费用模型,测算政府购买所需经费,可以为政府决策提供依据。文中以北京市某区为例,采用该模型对该区社区养老中政府购买医疗卫生服务所需费用进行测算,并与实际支出进行比较,提出了政府购买相关服务的建议。",政府购买;社区养老;基本医疗;公共卫生;人口老龄化;
重庆基层医疗卫生机构岗位职责问题研究,杨玲;颜星;林幻;邓梦露;胡新业;蒲川,重庆医学(2014年16期),2014/6/10,"<正>岗位职责规范是基层医疗卫生机构推行岗位绩效,实施岗位管理的基本制度保障,它明确了各工作岗位的主要工作内容和基本要求,规定了医务工作人员应该做哪些工作,做到哪个层面,做到什么程度。科学、全面、合理的岗位职责会对基层医疗卫生机构实施标准化建设起到强有力的推动作用。基层医疗卫生机构的职责是主要承担着辖区内广大人民群众的基本公共卫生服务以及基本医疗卫生服务的工作任务。人事制度改革是深化基层医改的一项重要内容,推行聘用制度和岗位管",
EHR建设探析——基于合肥市的实证研究,付媛媛,兰台世界(2014年11期),2014/4/12,"电子健康档案(EHR)是信息化时代的医疗产物,也是时代发展的大势所趋。本文笔者通过对合肥市的电子健康档案的现状调查,提出适合合肥市电子健康档案建设快速发展的几点建议。",HER;合肥市EHR建设;信息共享;
社区卫生服务中心员工绩效考核方法探讨,王兆为;欧阳间英;王海文;冯益权;彭子杰,中国全科医学(2013年37期),2013/11/5,"目的通过对顺德区大良社区卫生服务中心员工绩效考核方案的实践过程进行分析,探讨建立社区卫生服务中心员工激励机制,调动员工积极性的有效方法。方法采取""以岗定责、以责定量、以量定分、以分定酬""的方法,制定导向性绩效考核方案,从工作数量、质量、满意度三方面对员工的工作进行考核,并根据考核结果发放绩效工资。结果大良社区卫生服务中心在投入运行两年来,基本医疗和公共卫生服务的数量、质量及社区居民的满意度都快速稳步提升;在连续两年的顺德区社区卫生服务年度考核中,中心各项工作均排在全区的前列;2012年以优异成绩通过广东省示范社区卫生服务中心的评审验收。结论建立科学有效的社区卫生服务中心员工绩效考核办法,可有效调动员工的工作积极性,提高服务效率和改善服务质量,引导员工的工作重心始终与中心的工作目标保持一致,促进中心与员工的共同成长。",绩效考核;社区卫生服务;基本医疗;公共卫生;绩效工资分配;
建好健康档案  守护居民安康,许亚妮,档案与建设(2013年10期),2013/10/15,"<正>兴化市城中社区卫生服务中心是2009年3月经兴化市编委批准由原昭阳镇卫生所成建制划转成立的基层卫生事业单位,是兴化城区唯一一家承担""六位一体""功能任务的社区卫生服务机构。根据国务院深化医药卫生体制改革意见和《江苏省城市社区卫生服务条例》的相关要求开展居民健康档案、健康教育、老年人保健、慢性病防治",
深圳市四区社康中心服务供需情况现状分析,丘敏梅;党露希;王洪锐;卢祖洵,中国全科医学(2013年25期),2013/7/5,"目的了解深圳宝安区、龙岗区、福田区和罗湖区社康中心卫生服务供给和利用现状,比较社康中心服务存在的问题和差别,为卫生行政部门制定相关政策提供参考依据。方法运用描述性统计方法比较分析深圳市2008—2010年四个区437家社康中心的服务人口、基本医疗和公共卫生服务等情况。结果2008—2010年宝安区社康中心的服务人口持续高于关内两区,约为福田区和罗湖区的3.16和2.59倍,差异有统计学意义(P<0.01);关内两区门急诊和中医门诊人均可利用次数高于关外;宝安区的门急诊服务人次数和上转人次数均高于其余三区,且上下转人次数之间的差距最大。四区社康中心的健康档案覆盖率下降19.39%～31.20%,关外下降幅度高于关内,其中龙岗区下降幅度最大;宝安区的高血压和糖尿病规范管理人次数低于关内两区,差异有统计学意义(P<0.01)。结论社康中心基本医疗服务与公共卫生服务发展不均衡,关外较关内失衡更严重且卫生服务可及性较差,建议完善管理制度,加大对关外社康中心的财政支持力度。",社康中心;劳务工;中医药服务;公共卫生;均衡;
基于DEA模型的湖南省29家社区卫生服务中心效率研究,李萌;刘丽杭;王小万,中国卫生经济(2013年04期),2013/4/5,"目的:评价湖南省社区卫生服务中心的运营效率。方法:采用DEA的CCR模型和BCC模型计算社区卫生服务中心的整体效率、纯技术效率和规模效率,再采用超效率模型计算社区卫生服务中心的效率排名。结果:基本医疗服务模式中,2010年湖南省仅有31.03%的社区卫生服务中心处于规模报酬固定阶段;公共卫生服务模式中,2010年湖南省仅有13.79%的社区卫生服务中心处于规模报酬固定阶段。结论:2010年湖南省29家社区卫生服务中心的纯技术效率较低,约有78%的社区卫生服务中心存在规模不经济和资源配置不合理的情况,基本医疗服务和公共卫生服务发展不均衡。",社区卫生服务中心;数据包络分析;超效率模型;
我国医改的创新实践与探索,孙志刚,宏观经济管理(2012年11期),2012/11/8,"<正>深化医改是贯彻落实科学发展观的重大实践行动,是维护13亿中国人民健康福祉的重大民生工程,也是协调推进经济社会建设、扩大内需的重大发展工程。2009年3月,党中央、国务院颁发《关于深化医药卫生体制改革的意见》,提出到2020年实现人人享有基本医疗卫生服务的目标。3年来,深化医改探索了路子,积累了经验,取得",
医疗卫生服务不均等的现实考察及均等化途径,孙德超;徐文才,经济问题(2012年10期),2012/10/15,"基本医疗和公共卫生服务是保障和改善人们生命与健康权的基本条件。受承担法律责任的要求,受构建服务型政府的要求,受基本医疗和公共卫生服务性质的要求以及受保障健康权、维护人权的要求,政府应承担起提供基本医疗和公共卫生服务的责任。由于受历史原因、体制原因及其他因素的影响,我国地区、城乡基本医疗和公共卫生服务不均等的状况较为突出。医疗卫生服务不均等的主要原因包括地区、城乡经济发展不均衡;软约束的市场化改革;城乡二元结构的体制性约束。这就需要加强对中西部地区的财政转移支付;建立政府主导下的市场机制发挥作用的医疗卫生体制;逐步化解城乡二元结构。",基本医疗服务;公共卫生服务;城乡二元结构;
中国医改的创新实践与探索,孙志刚,求是(2012年18期),2012/9/16,"<正>2009年3月,中共中央、国务院颁发《关于深化医药卫生体制改革的意见》,提出到2020年实现人人享有基本医疗卫生服务的目标。深化医改是贯彻落实科学发展观的重大实践行动,是维护13亿中国人民健康福祉的重大民生工程,也是协调推进经济社会建设、扩大内需的重大发展工程。3年来,深化医改探索了路子,",
河北财政助推医改新突破,高云霄,中国财政(2012年14期),2012/7/20,"<正>2009年9月,《河北省医药卫生体制改革近期重点实施方案》发布,开启了河北医改大幕。各级财政部门以""保基本""为目标,运用转移支付、统筹财力等措施,全力保障基本医疗资金投入;以""强基层""为重心,运用国债、地方政府债券和自有财力健全基层医疗卫生服务体系;以""建机制""为保障,建立多渠道补偿、激励约束、风险防控机制,确保基层医疗卫生机构可持续发展。三年来,全省基本医疗保险覆盖面不断扩大、保障水平不断提高,基层医疗卫生服务能力显著增强,基本公共卫生服务均等化水平",
农村基层医疗卫生机构运行中存在的问题及对策的实证分析,李伟,中国卫生事业管理(2012年07期),2012/7/15,"基层医疗卫生工作是整个医疗卫生体制改革的重要突破口和切入点。与城市相比,农村基层医疗卫生机构的运行状况更令人担忧。通过对河南省鲁山县的实地调查发现,基本药物招标采购不规范、部分药品的断供、缺货情况严重、部分乡镇卫生院财务运转困难、""以药养医""现象依然存在、农民用药负担依然沉重、基层医务人员待遇水平低、职业发展空间有限、公共卫生服务补助水平低、预防保健人才极其匮乏、服务方式仍然沿袭传统坐诊制是当前我国农村基层医疗卫生机构运行中面临的突出问题。解决上述问题的关键在于完善基本药物制度、加大财政投入的力度、提高基层医务人员待遇水平、拓展其职业发展空间、加强农村公共卫生服务人才培养和加快服务方式的创新等。",农村基层医疗卫生机构;基本药物制度;公共卫生服务;运行状况;制度完善;
当前中国社区健康教育的政策执行过程——基于史密斯模型的分析,邓大松;徐芳,武汉大学学报(哲学社会科学版)(2012年04期),2012/7/6,"社区健康教育是健康促进的重要方法,也是缓解看病难看病贵的有效途径,运用史密斯政策执行过程模型对当前中国社区健康教育的执行状况进行分析,其结论是:其一,当前我国社区健康教育的目标层级偏低,绩效考核机制不健全;其二,执行机构的人力资源状况、机构数量、组织结构和经费均有待改善;其三,对目标群体的规制受制于社区资本的状况;其四,作为政策执行环境因素的社区资本,目前处于重构的阶段,且这四个层面的状况相互影响与制约。基于此,应该从增强执行机构能力着手突破我国当前社区健康教育的发展困境。",公共政策;执行;社区;健康教育;
农民工群体享有基本公共服务的现状及改进途径,孙德超;毛素杰,吉林大学社会科学学报(2012年03期),2012/5/24,"建设社会主义和谐社会,应使发展成果惠及全体人民,推进基本公共服务均等化。基本公共服务均等化是指政府通过制定相关基本公共服务的最低标准,确保不同地区、城乡、不同群体的居民享有机会均等、结果大体相等、具有自由选择权的基本公共服务。政府要实现基本公共服务均等化的目标,就要使弱势群体与其他群体享有均等的基本公共服务。在弱势群体中,农民工所占比例最高,存在的问题也最为突出。分析农民工享有基本公共服务的现状及存在的问题,探讨推进农民工与其他群体享有均等的社会保障服务、公共就业服务、义务教育服务、基本医疗与公共卫生服务的政策建议,有助于推进我国不同群体享有基本公共服务的均等化,实现社会的和谐与稳定。",弱势群体;农民工;基本公共服务均等化;
中国卫生经济学会第十四次学术年会综述,,中国卫生经济(2012年01期),2012/1/5,"<正>为配合全国医药卫生体制改革,探讨改革中所面临的深层次问题,根据学会2011年年度工作计划,中国卫生经济学会第14次学术年会于2011年12月20日在北京举行,本次会议的主题是新医改面临的挑战与任务。中国卫生经济学会会长、全国人大",
某社区卫生服务中心绩效考核的实践探讨,柳树立,中国全科医学(2011年28期),2011/10/5,"目的对长沙市岳麓区望月湖社区卫生服务中心绩效考核的实践过程进行分析,探讨如何调动基层医务人员参与社区公共卫生服务的积极性。方法发放""社区居民健康消费卡"",利用信息化系统进行监督、管理及绩效考核。结果公共卫生服务的数量和质量大幅度提高;社区居民满意度越来越高;中心服务人次从日均30人左右,提高至日均200人左右。结论发放""社区居民健康消费卡"",实现公共卫生服务经费""先给数,后给钱;先分发,后回收"",全过程利用《社区卫生服务工作运行与绩效考核系统》进行监督、管理及绩效考核,成功调动了基层医务人员参与公共卫生服务的积极性。",社区卫生服务;绩效考核;公共卫生服务;
建立基层医疗卫生机构补偿机制的路径选择,杨道祥;廖传丽,中国卫生经济(2011年10期),2011/10/5,"将基层医疗机构的门诊医疗服务纳入基本公共卫生服务项目的范畴,基层医疗机构为居民提供免费的门诊医疗服务;将社会医疗保险门诊基金按年度划转为基本公共卫生服务经费,解决基层医疗卫生机构基本药物改革后医疗机构的补偿问题;促使基层医疗卫生机构全面回归公益性,让人民群众真正享有全面、便捷、实惠的基本公共卫生服务。",基本药物;医疗机构;补偿机制;
深化医改  普惠民生,,中国经贸导刊(2011年05期),2011/3/10,"<正>本刊讯""看病难、看病贵""是人民群众看病就医当中反映的突出问题,它侵蚀了人们对幸福的感受。没有健康就没有小康。随着人均收入水平上升,群众对改善医疗卫生服务有了更多期待。2009年4月,党中央、国务院在积极应对国际金融危机对我国不利影响的同时,正式启动深化医药卫生",
农村妇幼保健机构卫生服务项目成本测算研究,周虹;袁平;王晓莉;王燕,中国卫生经济(2010年09期),2010/9/5,"目的:为探索妇幼保健机构服务项目的财政补偿方式、范围及强度,更好地落实财政补偿政策。方法:采用典型专题调查的方法,在不同经济水平的南方地区(江苏省)和北方地区(河北省)各选择1个县妇幼保健机构,并运用标准化与合理拟合等方法测算服务项目的标准成本,进而初步推算全国的成本投入。结果:按照经济欠发达地区(河北省)标准成本(不含药品成本)进行初步推算,我国每年县级妇幼纯公共卫生服务成本为42.8亿元,县级妇幼保健机构准公共卫生服务成本为36.8亿元,基本医疗服务成本为126.1亿元。结论:该测算与预测数据可以为政府对妇幼卫生服务进行财政投入提供参考。",妇幼保健;公共卫生;成本测算;
基于供方的区域专业公共卫生服务经费测算方法探索,董树山;孟庆跃;孙经杰;孙晓杰;李孟涛,中国卫生经济(2010年05期),2010/5/5,"从供方角度,对区域专业公共卫生服务经费测算方法进行了初步探讨。介绍了测算的目的、原则和思路,相关概念和测算依据,测算程序及所需资料,设计了较为系统的测算公式,简要讨论了需要进一步研究的问题。",公共卫生服务;经费;测算方法;供方;区域;
我国公共卫生服务体系支付方式的界定和分析,袁蓓蓓;于保荣;宫习飞;李娟,中国卫生经济(2009年12期),2009/12/5,"目的:界定和分析现行疾病预防控制机构和基层卫生机构及其人员的支付方式,为设计与国民基本卫生保健制度相适应的支付方式提供政策建议。方法:通过关键人物访谈、焦点小组座谈、信函调研和二手资料复习收集有关疾病预防控制机构和基层卫生服务机构支付方式的相关信息。结果:我国疾病预防控制机构及其人员支付方式有按条目预算支付、总额预付、按服务项目支付、按人头支付、薪金制与按绩效支付结合;基层卫生服务机构的支付方式有按人头支付与按绩效支付结合、薪金制与按服务项目支付结合、按人头支付与按服务项目支付结合。结论:在控制成本、提高服务的数量和质量上,每种支付方式各有利弊。基于我国目前公共卫生服务提供不足的现状,按人头支付、按服务项目支付和按绩效支付更适合于公共卫生服务机构及人员。",公共卫生;疾病预防控制机构;基层卫生服务机构;支付方式;
关于我国医疗卫生体制改革财政政策探析,张帆;燕进,财政监督(2009年15期),2009/8/5,"<正>一、我国医疗改革的背景(一)改革开放之前改革开放之前,在供给上,我国医疗服务主要依靠以三级卫生体系(县、乡、村)为基础的医疗体系提供;公共卫生方面,由各级防疫站提供服务。各级医疗机构和防疫站经费,基本由财政全额供养,医院实施低收费。在收费上,城",
南非的供水和公共卫生服务:不断增强的可持续性,凯西·伊尔斯;莱拉·史密斯;罗希尔·范·登布林克;米歇尔·齐尼;焦怡雪,国际城市规划(2009年03期),2009/6/19,"在1994年,南非有三分之一的人口无法在合理运输距离内获得安全的饮用水,同时有一半人口没有用上像样的厕所。新的民主政府确立了改善供水和卫生设施的宏伟发展目标,并通过以包容性规划和实施策略为支撑的需求响应途径来达成这一目标。但由于需求规模造成的压力,最终致使改善供水的实施措施转向自上而下、供给主导的途径。尽管存在着实现规模经济的可能性,但服务供应的单位成本却显著增加了。同时,效能控制的重点被放在基础设施供给和支出方面,而非基础设施质量、成本效用和使用性能。对落实既定目标要求的强调,却导致市民/使用者的声音和权力在政策制定、约束服务提供者责任方面遭到削弱。本文讨论了现有措施在可持续性上所面临的重大风险,并对地方政府改善供水和公共卫生服务方面提出了建议。",供水和公共卫生;服务供应;市级层面;责任;市民/使用者权力;监管;
试论乡镇卫生院的功能与改革,孙淑云,中国农村经济(2005年11期),2005/11/21,"准确定位乡镇卫生院的功能是把握乡镇卫生院改革方向的关键。本文通过回顾乡镇卫生院组建沿革中的功能定位,评析转型时期乡镇卫生院改革中其功能的异化及其弊端,认为乡镇卫生院是为农村提供公共卫生服务的公益性卫生机构,其改革应在政府主导下,制定统一规则,通过强制性制度变迁整体推进。",乡镇卫生院改革;公共卫生服务;政府责任;制度变迁;
从不公平到更加公平的卫生发展:中国城乡疾病模式差距分析与建议,胡鞍钢,管理世界(2003年01期),2003/2/20,"人类在20世纪经历了一次疾病模式的转变,其重要标志是非传染病取代传染病成为致病和致残的主要原因,以及平均死亡年龄的逐步上升。中国在疾病模式转变的过程中面临着“不完全的疾病模式转变”,这突出表现在城乡疾病模式的差异上。现在,中国城市人口已基本完成疾病模式的转变,但大部分农村人口依然处在传统疾病模式阶段,这正是城乡之间社会发展不平等的一个重要表现。本文对城乡疾病模式的差距进行了实证分析,并探讨了差距形成的原因主要是市场化改革和城乡二元结构的存在,削弱了国家再分配的能力,并导致城乡居民在收入、公共服务和社会保障上存在较大差距。而促进城乡公平的卫生发展最终要靠政府的“良治”:政府应该向全体农村居民提供基本公共卫生服务;在农村初级卫生保健中,坚持“预防为先”的方针;探索适合现阶段农村发展的医疗保障制度。而改变二元结构,改善农民的“国民待遇”,是提高农民健康水平、缩小城乡健康差距的根本所在。",疾病模式;公平;良治;
基于标化工作量的社区卫生服务机构家庭医生团队工作开展现状研究,徐佳玙;颜骅;方军波;王海琴;郭佩;沈福来;王形松,中国全科医学(2023年13期),2023/3/1 16:15,"背景家庭医生团队在运行过程中存在着工作内容条理不清、分工不合理和“高能低用”等问题，制约了家庭医生团队的整体发展。目的基于标化工作量对上海市中心城区社区卫生服务机构家庭医生团队工作开展现状进行分析，了解阻碍家庭医生团队发展的主要因素，为家庭医生团队工作模式改进提供指导。方法于2021年7—11月，以上海市徐汇区斜土街道社区卫生服务中心的家庭医生团队为研究对象，收集该机构家庭医生团队于2019年8—9月和2021年8—9月所开展的服务项目、各项目标化工作量相关参数、各项目发生数量。一是根据服务项目的性质，将家庭医生团队服务分为基本医疗服务和公共卫生服务，计算其基本医疗和公共卫生工作的标化工作总量和总时间；二是根据医防融合的思路，将家庭医生团队工作拆分为社区动员、社区筛查、社区诊断、社区干预、社区随访5个环节，计算各工作环节的标化工作总量和总时间；三是运用优劣解距离法（TOPSIS）对家庭医生社区动员、社区筛查、社区随访环节的所有服务项目的价值水平进行综合评价。结果2021年8月和9月家庭医生团队公共卫生服务的标化工作总量分别为16961和18089,2019年的同期数据分别为11486和10433，平均涨幅为59.9%。Pearson相关分析结果显示，家庭医生团队的基本医疗服务标化工作总量与公共卫生服务标化工作总量无相关关系（r=-0.72,P=0.27）。家庭医生团队在各环节的标化工作总量从大到小依次为：社区诊断、社区随访、社区干预、社区筛查、社区动员。社区动员、社区筛查、社区随访环节的标化工作量/总时间相对较低。根据TOPSIS评价结果，更新慢性病患者健康档案、高血压和糖尿病患者随访管理、签约居民信息维护等13个项目可考虑外包或降低执行人力成本。结论家庭医生团队尚未形成有效的工作方式来实现医防融合，导致公共卫生服务中非必须家庭医生执行环节浪费过多人力资源，并进而影响了家庭医生的基本医疗工作开展。下一步，应加强家庭医生团队社区干预相关专业技能的培训，增加相关设施设备；优化家庭医生团队各工作环节的人力资源配置，主要降低社区动员、社区筛查和社区随访的执行人力成本。",标化工作量法;家庭医生团队;社区卫生服务;家庭医生签约服务;医防融合;优劣解距离法;
疫情防控背景下城市基本公共服务适灾韧性协同机制研究,郭天一,云南民族大学学报(哲学社会科学版)(2022年06期),2022/11/7 15:05,随着新冠疫情对我国社会的持续影响，城市基本公共服务衍生出更多阻滞因素和薄弱环节，利用韧性机理审视城市基本公共服务适灾能力，防范并化解服务供给危机，是当前城市社会治理的重点问题。结合H市基本公共服务适灾韧性状况分析发现，主体合作、资源供给对信息交互和策略调适等环节的韧性缺失，削弱了应对基本公共服务供给风险的联动防线和功能拓展。因此，基于对组织韧性、社会韧性、市场韧性、技术韧性及秩序韧性等五重维度的持续完善，能够进一步优化城市基本公共服务适灾韧性协同机制的实施方略。,公共卫生;基本公共服务;适灾韧性;协同机制;
供需关联视角下特大城市医疗卫生服务网络及其空间韧性——基于武汉市街道尺度的考察,董莹;罗静;王玉霞;田野;郑文升;田玲玲,经济地理(2022年10期),2022/10/26,以武汉市为例构建医疗卫生服务供给—需求网络，运用复杂网络分析方法探索网络的复杂性特征和空间韧性。研究发现：(1)武汉市各街道节点存在显著的医疗卫生服务供给与需求不匹配现象，需求网络的极化现象使其更易失衡，供给网络则以满足周边需求为主。(2)需求网络的静态空间韧性最差，意味着居民按意愿就医成本更高，可选择路径相对更少。(3)随机风险对需求网络所造成的影响最小，表明在居民自主就医背景下随机冲击对需求网络韧性的影响更小；而在蓄意攻击下供给网络的抗风险性更强，需求网络的波动性则更大。(4)中心城区节点面临蓄意攻击时，更易导致就医成本加大和路径可选择性减少，边缘节点由于供给和需求能力均较弱，制约着供需网络整体的稳定性。,空间韧性;城市网络;复杂网络;级联失效;基本公共服务;
面向乡村振兴的公共服务均等化研究：以医疗和教育为例,卢盛峰;杨光照;马静;陈思霞,财政研究(2022年06期),2022/6/5,本文基于中国2015—2020年公共服务空间分布大数据信息，以医疗和教育服务为例，首次在村/社区尺度上对中国公共服务供给的均等化状况进行测度与分解，并进一步评估受益归宿。结果表明：(1)医疗卫生和基本公共教育服务不均等突出体现在服务覆盖率上，到2020年医疗卫生和基本公共教育服务均覆盖了约50%群体；(2)细分公共服务类别发现，受益范围更大的种类均等化较好，而区域性服务种类不均等状况严重，卫生室、幼儿园布局不均等是医疗卫生和基本公共教育服务不均等的主要原因；(3)区域分解发现，公共服务整体不均等主要是由乡镇(街道)内部、城乡内部以及不同区域内部不均等造成的；(4)从受益归宿上看，人均公共服务水平越高的群体从公共服务供给增长中受益更少，即均等化状况在改善。这一研究有利于厘清中国公共服务在基层单元的均等化状况，并对下一步加强公共服务精准施策、推进乡村振兴具有实践意义。,公共服务均等化;乡村振兴;不均等分解;受益归宿;
分级诊疗视角下基层医疗服务价格政策执行现状研究,王晓昕;张媚;郭建国;张进;龚煜;肖丽;彭美华;袁小丽,卫生经济研究(2022年02期),2022/1/28,"目的:了解基层医疗服务价格政策的执行现状。方法:通过资料收集、现场调查等,分析分级诊疗视角下基层医疗服务价格政策的执行情况。结果:基层医疗卫生机构""价格项目""执行率偏低,适合基层使用的医疗服务项目数量有限且多为低价项目,基层低价管制策略对基层首诊和机构运行的利弊共存。建议:推动基层医疗服务价格政策和支付机制作出重大调整,鼓励基层医疗卫生机构统筹提供基本医疗和公共卫生服务,建立健全医联体内部利益分配与风险共担机制,促进分级诊疗。",基层医疗卫生机构;医疗服务价格;分级诊疗;
流动人口与户籍人口健康教育状况及其影响因素比较分析,张检;蔡金龙;何中臣;黄元英;唐贵忠,医学与社会(2021年07期),2021/7/10,"目的:对比分析我国流动人口与户籍人口接受健康教育的状况及其影响因素,为提高区域基本公共卫生服务的公平性和可及性提供参考。方法:利用2017年全国流动人口动态监测专题数据,采用χ2检验和logistic回归分析流动人口与户籍人口接受健康教育的状况及影响因素差异。结果:流动人口与户籍人口健康教育服务接受率分别为76.6%和84.0%;低龄、在婚、居住在中部和西部、知晓国家基本公共卫生服务项目、已建立健康档案的流动人口与户籍人口受健康教育水平更高（P<0.05）;文化程度低、居住在农村的流动人口受健康教育水平较低,男性户籍人口受健康教育水平较低（P<0.05）。结论:流动人口受健康教育水平显著低于户籍人口,应从完善供给模式、提高利用效率两方面提升流动人口健康教育服务水平,逐步实现区域基本公共卫生服务均等化。",健康教育;流动人口;户籍人口;影响因素;
